Round,spieltag,teamname,Date,Time,Comp,D,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp.Formation,Referee,Match.Report,Notes,Date.1,Time.1,Comp.1,D.1,Venue.1,Result.1,GF.1,GA.1,Opponent.1,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,nG,nG/Sh,GG,np:GG,Match Report,SoTA,Saves,Save%,CS,PG,PG+/-,PKatt.1,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp.1,Att.2,Cmp%.1,TotDist,PrgDist,Cmp.2,Att.3,Cmp%.2,Cmp.3,Att.4,Cmp%.3,Cmp.4,Att.5,Cmp%.4,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK.1,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.2,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.6,Tkl%,Lost,Blocks.1,Sh.3,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Att Pen,Live.1,Att.7,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.1,PrgDist.1,PrgC,1/3.1,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld.2,PKwon,OG,Recov,Won,Lost.1,Won%
Matchweek 30,30,Bayern Munich,2026-04-18,,Bundesliga,Sat,Home,,NA,NA,Stuttgart,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 31,31,Bayern Munich,2026-04-25,,Bundesliga,Sat,Away,,NA,NA,Mainz 05,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 32,32,Bayern Munich,2026-05-02,,Bundesliga,Sat,Home,,NA,NA,Heidenheim,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 33,33,Bayern Munich,2026-05-09,,Bundesliga,Sat,Away,,NA,NA,Wolfsburg,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 34,34,Bayern Munich,2026-05-16,15:30,Bundesliga,Sat,Home,,NA,NA,Köln,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 4,4,Bayern Munich,2025-09-20,15:30,Bundesliga,Sat,Away,W,4,1,Hoffenheim,3,0.9,62,"30,150",Manuel Neuer,4-2-3-1,4-4-2,Robert Hartmann,Match Report,NA,2025-09-20,15:30,Bundesliga,Sat,Away,W,4,1,Hoffenheim,4,16,8,50.0,0.13,0.25,20.4,1,2,2,1.4,0.09,+1.0,+0.6,Match Report,3,2,66.7,0,0.5,-0.5,0,0,0,0,9,18,50.0,51,5,31.4,32.5,5,40.0,28.6,12,1,8.3,4,21.9,523,602,86.9,9337,3052,232,253,91.7,227,243,93.4,52,80,65.0,1,1.0,0.7,11,36,7,0,41,556,45,16,0,12,12,17,5,3,0,1,1,13,28,18,2,1,3,4,0,6,1,1,0,2,2,0,17,8,8,7,2,4,10,40.0,6,11,5,6,7,24,15,2,718,76,231,330,161,23,716,26,8,30.8,15,57.7,515,2699,1197,20,17,5,17,11,521,40,2,0,0,9,15,1,0,37,7,9,43.8
Matchweek 5,5,Bayern Munich,2025-09-26,20:30,Bundesliga,Fri,Home,W,4,0,Werder Bremen,3.4,0.4,59,"75,000",Manuel Neuer,4-2-3-1,4-2-3-1,Frank Willenborg,Match Report,NA,2025-09-26,20:30,Bundesliga,Fri,Home,W,4,0,Werder Bremen,4,25,11,44.0,0.12,0.27,18.7,0,1,1,2.6,0.11,+0.6,+0.4,Match Report,3,3,100.0,1,0.3,+0.3,0,0,0,0,3,7,42.9,35,3,17.1,25.2,7,14.3,27.3,8,0,0.0,5,22.3,610,701,87.0,9117,3188,330,351,94.0,189,212,89.2,45,72,62.5,3,2.6,1.9,23,40,13,3,67,662,39,5,1,5,15,19,7,7,0,0,0,12,50,45,0,1,1,1,2,7,5,0,0,1,1,0,13,9,3,4,6,6,14,42.9,8,8,4,4,18,31,16,0,822,46,170,397,265,44,821,15,4,26.7,11,73.3,493,2141,1198,25,21,13,14,5,606,67,2,0,0,9,4,1,0,58,9,4,69.2
Matchweek 6,6,Bayern Munich,2025-10-04,18:30,Bundesliga,Sat,Away,W,3,0,Eint Frankfurt,1.7,0.3,60,"59,500",Manuel Neuer,4-2-3-1,4-2-3-1,Daniel Siebert,Match Report,NA,2025-10-04,18:30,Bundesliga,Sat,Away,W,3,0,Eint Frankfurt,3,12,3,25.0,0.25,1.00,14.8,0,0,0,1.7,0.14,+1.3,+1.3,Match Report,1,1,100.0,1,0.3,+0.3,0,0,0,0,7,11,63.6,41,5,24.4,29.5,7,14.3,28.0,8,0,0.0,3,24.2,662,748,88.5,10020,3180,364,397,91.7,226,243,93.0,45,60,75.0,3,1.4,1.3,10,57,5,0,42,700,43,11,2,2,6,21,3,1,0,0,5,9,21,17,2,1,1,0,0,6,5,0,1,0,0,0,10,4,4,6,0,4,11,36.4,7,13,0,13,5,15,17,2,857,62,189,465,207,27,857,19,4,21.1,14,73.7,563,2511,1245,23,16,7,16,7,658,41,2,0,0,11,10,0,0,46,7,5,58.3
Matchweek 7,7,Bayern Munich,2025-10-18,18:30,Bundesliga,Sat,Home,W,2,1,Dortmund,2.4,1.6,61,"75,000",Manuel Neuer,4-2-3-1,3-4-3,Bastian Dankert,Match Report,NA,2025-10-18,18:30,Bundesliga,Sat,Home,W,2,1,Dortmund,2,15,7,46.7,0.13,0.29,15.0,0,0,0,2.4,0.17,-0.4,-0.4,Match Report,1,0,0.0,0,0.8,-0.2,0,0,0,0,6,17,35.3,49,7,32.7,31.9,5,20.0,21.8,13,0,0.0,4,22.0,544,626,86.9,9363,3340,268,288,93.1,194,210,92.4,61,90,67.8,1,1.5,0.8,12,40,5,1,34,571,53,19,1,8,8,23,4,3,0,0,2,9,25,19,2,1,3,0,0,3,1,1,1,0,0,0,11,8,6,4,1,4,13,30.8,9,11,3,8,8,19,17,1,747,64,268,335,151,24,747,16,4,25.0,8,50.0,401,1925,869,19,8,11,23,10,539,33,1,0,0,12,16,0,0,49,6,15,28.6
Matchweek 8,8,Bayern Munich,2025-10-25,15:45,Bundesliga,Sat,Away,W,3,0,Gladbach,4,0.8,82,"54,042",Joshua Kimmich,4-2-3-1,5-4-1,Sascha Stegemann,Match Report,NA,2025-10-25,15:45,Bundesliga,Sat,Away,W,3,0,Gladbach,3,27,10,37.0,0.11,0.30,18.6,0,0,0,4.0,0.15,-1.0,-1.0,Match Report,0,0,,1,0.0,0.0,1,0,0,1,1,2,50.0,28,4,7.1,22.3,1,0.0,8.0,3,1,33.3,7,22.3,875,957,91.4,13268,3413,481,509,94.5,341,370,92.2,39,56,69.6,2,3.4,4.8,22,86,24,2,98,917,39,7,12,3,33,22,8,6,1,0,1,4,52,47,1,1,2,1,0,5,4,0,0,1,0,0,7,5,4,1,2,3,5,60.0,2,4,0,4,2,9,5,0,1045,23,112,361,574,51,1045,18,4,22.2,12,66.7,814,3342,1872,39,43,12,16,7,869,98,3,0,0,9,6,0,0,50,9,10,47.4
Matchweek 9,9,Bayern Munich,2025-11-01,18:30,Bundesliga,Sat,Home,,NA,NA,Leverkusen,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 1,1,Dortmund,2025-08-23,18:30,Bundesliga,Sat,Away,D,3,3,St. Pauli,1.6,1.2,49,"29,546",Gregor Kobel,3-4-1-2,3-4-1-2,Matthias Jöllenbeck,Match Report,,2025-08-23,18:30,Bundesliga,Sat,Away,D,3,3,St. Pauli,3,7,6,85.7,0.43,0.50,14.8,0,0,1,0.8,0.11,+1.4,+2.2,Match Report,7,4,71.4,0,2.1,-0.9,1,1,0,0,4,11,36.4,35,5,22.9,27.8,5,60.0,49.0,20,1,5.0,0,12.5,439,514,85.4,7924,2565,175,195,89.7,236,256,92.2,27,49,55.1,3,0.8,1.8,7,24,5,2,29,467,44,16,2,2,8,17,2,2,0,0,3,6,16,13,1,1,0,1,0,6,6,0,0,0,0,0,10,5,4,6,0,4,11,36.4,7,8,1,7,8,18,49,1,654,71,201,379,78,17,653,17,3,17.6,11,64.7,400,1625,790,5,4,2,18,9,439,29,3,1,0,12,13,1,0,32,18,6,75.0
Matchweek 10,10,Dortmund,2025-11-08,15:30,Bundesliga,Sat,Away,,,,Hamburger SV,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 11,11,Dortmund,2025-11-22,15:30,Bundesliga,Sat,Home,,,,Stuttgart,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 12,12,Dortmund,2025-11-29,18:30,Bundesliga,Sat,Away,,,,Leverkusen,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 13,13,Dortmund,2025-12-06,,Bundesliga,Sat,Home,,,,Hoffenheim,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 14,14,Dortmund,2025-12-13,,Bundesliga,Sat,Away,,,,Freiburg,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 15,15,Dortmund,2025-12-20,,Bundesliga,Sat,Home,,,,Gladbach,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 16,16,Dortmund,2026-01-10,,Bundesliga,Sat,Away,,,,Eint Frankfurt,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 17,17,Dortmund,2026-01-14,,Bundesliga,Wed,Home,,,,Werder Bremen,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 18,18,Dortmund,2026-01-17,,Bundesliga,Sat,Home,,,,St. Pauli,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 19,19,Dortmund,2026-01-24,,Bundesliga,Sat,Away,,,,Union Berlin,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 2,2,Dortmund,2025-08-31,17:30,Bundesliga,Sun,Home,W,3,0,Union Berlin,2.4,1.1,65,"81,365",Julian Brandt,3-4-3,5-3-2,Daniel Schlager,Match Report,,2025-08-31,17:30,Bundesliga,Sun,Home,W,3,0,Union Berlin,3,11,6,54.5,0.27,0.50,13.3,0,0,0,2.4,0.23,+0.6,+0.6,Match Report,3,3,100.0,1,0.5,+0.5,0,0,0,0,0,5,0.0,26,5,11.5,29.2,8,25.0,28.0,17,0,0.0,1,21.0,660,743,88.8,11368,3361,292,314,93.0,320,336,95.2,43,75,57.3,2,1.8,2.2,7,51,14,3,63,709,33,8,2,1,14,12,4,3,0,0,1,5,17,12,1,2,1,0,1,6,5,0,1,0,0,0,10,6,6,2,2,5,7,71.4,2,9,3,6,4,14,33,1,850,54,199,461,194,21,850,17,8,47.1,8,47.1,498,2685,1606,24,19,3,15,4,657,63,0,0,0,14,7,0,0,44,12,12,50.0
Matchweek 20,20,Dortmund,2026-01-31,,Bundesliga,Sat,Home,,,,Heidenheim,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 21,21,Dortmund,2026-02-07,,Bundesliga,Sat,Away,,,,Wolfsburg,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
